👨‍🎓课堂,#genre#
六年级,https://keonline.shanghai.liveplay.qq.com/live/program/live/kkliunj/1300000/mnf.m3u8
初一,http://liveplay-kk.rtxapp.com/live/program/live/kkqinj/1300000/mnf.m3u8
初一,https://keonline.shanghai.liveplay.qq.com/live/program/live/kkqinj/1300000/mnf.m3u8
初二,http://liveplay-kk.rtxapp.com/live/program/live/kkbanj/1300000/mnf.m3u8
初二,https://keonline.shanghai.liveplay.qq.com/live/program/live/kkbanj/1300000/mnf.m3u8
初三,http://liveplay-kk.rtxapp.com/live/program/live/kkjiunj/1300000/mnf.m3u8
初三,https://keonline.shanghai.liveplay.qq.com/live/program/live/kkjiunj/1300000/mnf.m3u8
高一,http://liveplay-kk.rtxapp.com/live/program/live/kkgaoyinj/1300000/mnf.m3u8
高一,https://keonline.shanghai.liveplay.qq.com/live/program/live/kkgaoyinj/1300000/mnf.m3u8
高二,http://liveplay-kk.rtxapp.com/live/program/live/kkgaoernj/1300000/mnf.m3u8
高二,https://keonline.shanghai.liveplay.qq.com/live/program/live/kkgaoernj/1300000/mnf.m3u8
高三,http://liveplay-kk.rtxapp.com/live/program/live/kkgaosannj/1300000/mnf.m3u8
高三,https://keonline.shanghai.liveplay.qq.com/live/program/live/kkgaosannj/1300000/mnf.m3u8
空中课堂-一年级,http://117.148.179.182/PLTV/88888888/224/3221231721/index.m3u8
空中课堂-二年级,http://117.148.179.172/PLTV/88888888/224/3221231663/index.m3u8
空中课堂-三年级,http://117.148.179.163/PLTV/88888888/224/3221231739/index.m3u8
空中课堂-四年级,http://117.148.179.165/PLTV/88888888/224/3221231748/index.m3u8
空中课堂-五年级,http://117.148.179.165/PLTV/88888888/224/3221231766/index.m3u8
空中课堂-六年级,http://117.148.179.167/PLTV/88888888/224/3221231796/index.m3u8
空中课堂-七年级,http://117.148.179.156/PLTV/88888888/224/3221231781/index.m3u8
空中课堂-八年级,http://117.148.179.155/PLTV/88888888/224/3221231691/index.m3u8
空中课堂-九年级,http://117.148.179.174/PLTV/88888888/224/3221231642/index.m3u8
空中课堂-高一年级,http://117.148.179.160/PLTV/88888888/224/3221231705/index.m3u8
空中课堂-高二年级,http://117.148.179.179/PLTV/88888888/224/3221231630/index.m3u8
空中课堂-高三年级,http://117.148.179.166/PLTV/88888888/224/3221231690/index.m3u8
空中课堂一年级,https://keonline.shanghai.liveplay.qq.com/live/program/live/kkyinj/1300000/mnf.m3u8
空中课堂二年级,https://keonline.shanghai.liveplay.qq.com/live/program/live/kkernj/1300000/mnf.m3u8
空中课堂三年级,https://keonline.shanghai.liveplay.qq.com/live/program/live/kksannj/1300000/mnf.m3u8
空中课堂四年级,https://keonline.shanghai.liveplay.qq.com/live/program/live/kksinj/1300000/mnf.m3u8
空中课堂五年级,https://keonline.shanghai.liveplay.qq.com/live/program/live/kkwunj/1300000/mnf.m3u8
空中课堂六年级,https://keonline.shanghai.liveplay.qq.com/live/program/live/kkliunj/1300000/mnf.m3u8
空中课堂七年级,https://keonline.shanghai.liveplay.qq.com/live/program/live/kkqinj/1300000/mnf.m3u8
空中课堂八年级,https://keonline.shanghai.liveplay.qq.com/live/program/live/kkbanj/1300000/mnf.m3u8
空中课堂九年级,https://keonline.shanghai.liveplay.qq.com/live/program/live/kkjiunj/1300000/mnf.m3u8
空中课堂高一,https://keonline.shanghai.liveplay.qq.com/live/program/live/kkgaoyinj/1300000/mnf.m3u8
空中课堂高二,https://keonline.shanghai.liveplay.qq.com/live/program/live/kkgaoernj/1300000/mnf.m3u8
空中课堂高三,https://keonline.shanghai.liveplay.qq.com/live/program/live/kkgaosannj/1300000/mnf.m3u8


🐳🐠斗鱼,#genre#
 【特辑电影】有骨气酒楼营业中,	http://124.223.212.38:83/douyu/3637778
【万合天宜】王大锤情怀上线,	http://124.223.212.38:83/douyu/9220456
【蓝翔】经典电视剧,	http://124.223.212.38:83/douyu/7459925
「橙記」「最人气港剧直播间」,	http://124.223.212.38:83/douyu/4549169
【點點尬舞】别在外面了~进来聊天,	http://124.223.212.38:83/douyu/323876
【RM-点播】点播！模式-24H欢乐不断,	http://124.223.212.38:83/douyu/131977
❤️奶虫❤️恐怖丧尸鬼片灾难科幻,	http://124.223.212.38:83/douyu/263824
扑朔迷离的案件里隐藏着什么？,	http://124.223.212.38:83/douyu/610972
每天下午晚上在线，聊天看电影，话多,	http://124.223.212.38:83/douyu/8861179
魏蜀吴群雄争霸，发弹幕加入国战,	http://124.223.212.38:83/douyu/8892864
【龙门】天山勾地火，宝塔镇蛇妖,	http://124.223.212.38:83/douyu/9650860
❄️避暑/观影/聊天/听歌❄️,	http://124.223.212.38:83/douyu/6079455
【小鸽陪看】华语热门影视剧,	http://124.223.212.38:83/douyu/3928
✨爱你孤身走暗巷！爱你不跪的模样✨,	http://124.223.212.38:83/douyu/7528160
【瑶瑶】童年阴影鬼片恐怖惊悚,	http://124.223.212.38:83/douyu/2935323
三国直播间,	http://124.223.212.38:83/douyu/6546908
【李卫】呀呀个呸的,	http://124.223.212.38:83/douyu/7473576
晓妞动漫花园o(∩_∩)o,	http://124.223.212.38:83/douyu/426517
【更新】最全斗牌、麻将剧集解说,	http://124.223.212.38:83/douyu/9559158
【牛叔】N分钟带你看完大片,	http://124.223.212.38:83/douyu/2758565
希望八月运气爆棚所有的期待都如你所愿.	,http://124.223.212.38:83/douyu/7305938
周扒片深度解说,	http://124.223.212.38:83/douyu/6434857
【雍正】人无伤虎意,虎有吃人心	,http://124.223.212.38:83/douyu/9650836
【邵氏影院】经典武侠动作老电影你懂的,	http://124.223.212.38:83/douyu/4246519
【表妹】国产青春动作喜剧轮播,	http://124.223.212.38:83/douyu/5423
走进“柯”学，西瓜讲柯南的案件,~	http://124.223.212.38:83/douyu/9065082
【豆瓣高分】史上最佳影片大放送,	http://124.223.212.38:83/douyu/8770422
济公/聊斋的故事,	http://124.223.212.38:83/douyu/10475459
【片片】片荒的时候看片片,	http://124.223.212.38:83/douyu/4258555
【百晓生】经典武侠解说,	http://124.223.212.38:83/douyu/9649681
【贝贝】今日粉丝牌双倍亲密度！,	http://124.223.212.38:83/douyu/431460
【洗碗君】解说爷青回！,	http://124.223.212.38:83/douyu/9446706
【虫哥】魔性吐槽童年回忆,	http://124.223.212.38:83/douyu/8915074
【体育】聊聊科比、乔丹传奇故事,	http://124.223.212.38:83/douyu/8434598
❤️怡寳❤️港台科幻喜剧,	http://124.223.212.38:83/douyu/434971
【周末影院】周末一部片，邀你看大片！,	http://124.223.212.38:83/douyu/3637765
【周末电影】假期无事？来看电影！,	http://124.223.212.38:83/douyu/3637726
【女神金】60帧极致蓝光刀刀陪看,	http://124.223.212.38:83/douyu/747764
【科幻Fans】精彩科幻影视，解说连连看,	http://124.223.212.38:83/douyu/3508304
【樱木花道灌篮】PP动漫精彩解说,	http://124.223.212.38:83/douyu/9837291
开心锤锤，开心快乐每一天！,	http://124.223.212.38:83/douyu/9018297
车模车展，全天播放,	http://124.223.212.38:83/douyu/9805480
【史君说剧】史君说尽天下好剧	,http://124.223.212.38:83/douyu/9419771
水友最爱看的电影	,http://124.223.212.38:83/douyu/10240553
✨神乐✨华语经典电影沈腾周星驰,	http://124.223.212.38:83/douyu/85894
✨周星驰✨星爷华语成龙电影神乐,	http://124.223.212.38:83/douyu/122402
我在澜晚湾备考,	http://124.223.212.38:83/douyu/9461178
【蓝翔】弹幕天团、下饭神剧[请勿刷屏],	http://124.223.212.38:83/douyu/276200
【青铜椁】大道龙行自有真,飘忽隐现是龙身,	http://124.223.212.38:83/douyu/9292503
【科幻片】最专业的科幻片解说,	http://124.223.212.38:83/douyu/9338839
【庆帝】云淡风轻正闲处，鲜衣怒马少年时,	http://124.223.212.38:83/douyu/7489563
【漫威】漫威主线剧情最佳观影顺序,	http://124.223.212.38:83/douyu/6140589
你好.我叫牛奶,	http://124.223.212.38:83/douyu/7494871
【刘德华】庆祝华仔出道40周年	,http://124.223.212.38:83/douyu/2516864
✨贝爷MAX厅✨科幻动作经典喜剧,	http://124.223.212.38:83/douyu/4332
精彩电影一网打尽,	http://124.223.212.38:83/douyu/9650887
迷小雅最新爽剧解说,	http://124.223.212.38:83/douyu/9639225
【贤于葛格】最会讲电影的贤于来啦,	http://124.223.212.38:83/douyu/9461990
【1900影剧室】精讲剧场,	http://124.223.212.38:83/douyu/7796193
童大林江湖传奇～,	http://124.223.212.38:83/douyu/316089
[兔兔陪看]撸猫观影聊天室,	http://124.223.212.38:83/douyu/1504768
【雍正康熙】帝王故事连连看,	http://124.223.212.38:83/douyu/4808115
✨曾小贤✨胡一菲✨第三季✨第一季✨,	http://124.223.212.38:83/douyu/2838296
速进！新片放映中,	http://124.223.212.38:83/douyu/10240510
【康熙】张国立在线扫H除恶,http://124.223.212.38:83/douyu/7550220
战斗吧！热血动漫全看,	http://124.223.212.38:83/douyu/9641152
史剧解说洪武年间大案,	http://124.223.212.38:83/douyu/297689
【令狐冲】什么是江湖,	http://124.223.212.38:83/douyu/9653063
【林正英】僵尸女鬼弹幕护体,	http://124.223.212.38:83/douyu/218859
【霍格沃茨】伟大引起嫉妒，嫉妒导致怨毒,	http://124.223.212.38:83/douyu/8814650
【雍正、杨贵妃】剧集精讲,http://124.223.212.38:83/douyu/9660127
✨贝爷影厅✨经典科幻动作灾难巨兽,	http://124.223.212.38:83/douyu/252802
长工带你一起来追剧,	http://124.223.212.38:83/douyu/8869614
【红雷】经典电视剧精讲,	http://124.223.212.38:83/douyu/9650131
❤️冰冰❤️恐怖/经典/搞笑陪你一起,	http://124.223.212.38:83/douyu/74374
【老王】经典电影看不停,	http://124.223.212.38:83/douyu/9687733
长片短解，精彩的电影都有,	http://124.223.212.38:83/douyu/9410946
【宇哥】极限惊悚，无限反转,	http://124.223.212.38:83/douyu/8651489
刘哔讲电影，东北话解说嘎嘎强,	http://124.223.212.38:83/douyu/2632223
口音贼重的解说直播间,	http://124.223.212.38:83/douyu/9734098
来呀官人，都是你的梦,	http://124.223.212.38:83/douyu/9986305
【小片片】国产经典剧集专属直播间,	http://124.223.212.38:83/douyu/10011547
【番号】入万军丛中，取上将头颅,	http://124.223.212.38:83/douyu/8157860
【朱棣】笑天下可笑之人,	http://124.223.212.38:83/douyu/308752
❤️可乐❤️电影欧美科幻经典,http://124.223.212.38:83/douyu/20415
【德善】所谓胡同就是，用时间来造就朋友,	http://124.223.212.38:83/douyu/8600645
【屠龙】凛冬将至，夜王之争,	http://124.223.212.38:83/douyu/8945323
【好先生】男人不坏，女人不爱,	http://124.223.212.38:83/douyu/9650792
最新奇幻电影解说-宇宙无敌韩三金,	http://124.223.212.38:83/douyu/3194372
【汤姆杰瑞】来块奶酪吧,	http://124.223.212.38:83/douyu/7888428
【悬疑】都市猎奇传说、恐怖故事,	http://124.223.212.38:83/douyu/2337939
【逃出监狱】兄弟情，是真的,	http://124.223.212.38:83/douyu/7575350
美剧解说精彩不断,	http://124.223.212.38:83/douyu/9643264
【樊胜美】天下无不散宴席,除了你自己,	http://124.223.212.38:83/douyu/3756989
【牛叔2台】欢迎来到牛叔的悬疑世界,	http://124.223.212.38:83/douyu/10010651
【宋江】梁园虽好,不是久恋之家,	http://124.223.212.38:83/douyu/3758762
已更新！聊聊武侠与江湖,	http://124.223.212.38:83/douyu/8986636
【大秦】秦人不暇自哀，而后人哀之,	http://124.223.212.38:83/douyu/1584198
反手一个好家伙,	http://124.223.212.38:83/douyu/7270927
【美食】舌尖上的火锅，美食不可辜负,	http://124.223.212.38:83/douyu/9650849
【使徒】做兄弟,在心中,	http://124.223.212.38:83/douyu/7810803
【步惊云】金鳞岂是池中物，一遇风云便化龙,	http://124.223.212.38:83/douyu/9290755
【吐槽】烂片的克星，老邪入驻啦,	http://124.223.212.38:83/douyu/9222870
【恐怖】经典恐怖鬼怪剧场,	http://124.223.212.38:83/douyu/1165374
【变种人】除掉任何阻碍我们的人,	http://124.223.212.38:83/douyu/9651304
【隋唐】与君共饮盏中酒，几人哀伤几人愁,	http://124.223.212.38:83/douyu/7552568
【动漫合集】皮克斯、Conan看不停,	http://124.223.212.38:83/douyu/7620081
【放映厅】浅看几部电影吧,~	http://124.223.212.38:83/douyu/8985415
❤️傻妞❤️曾小贤❤️6863367,	http://124.223.212.38:83/douyu/6863367
粤语电影⭐周星驰林正英经典喜剧白话,	http://124.223.212.38:83/douyu/6566671
钱债易还,情债难偿,	http://124.223.212.38:83/douyu/8595134
【刘老师】每天爆笑解说不断,	http://124.223.212.38:83/douyu/8317926
来这里开心就好1557481,	http://124.223.212.38:83/douyu/1557481
漫威、科幻作品逐帧解析,	http://124.223.212.38:83/douyu/10494168
来这里开心就好13071,	http://124.223.212.38:83/douyu/13071
来看一只熊解说电影,	http://124.223.212.38:83/douyu/9386057
【新人花卷】豆瓣高评分电影,	http://124.223.212.38:83/douyu/52787
说笑武林的直播间,	http://124.223.212.38:83/douyu/10329706
❤️小U❤️丧尸鬼片恐怖惊悚电影,	http://124.223.212.38:83/douyu/96577
【冤案】夫斯乃上蔡布衣，闾巷之黔首,	http://124.223.212.38:83/douyu/6706214
杀死燕双鹰，活捉狄仁杰,	http://124.223.212.38:83/douyu/3439096
⭐圆子⭐来看你老婆跳舞啦,	http://124.223.212.38:83/douyu/6566658
【吐槽】疯狂吐槽辣眼雷剧,	http://124.223.212.38:83/douyu/9026377
下次直播再见，搞笑解说就看文西与阿漆,	http://124.223.212.38:83/douyu/8737695
❤等第一张真爱紫牌子❤,	http://124.223.212.38:83/douyu/7925840
【刑侦】饿不饿，要不要下一碗面吃呀,	http://124.223.212.38:83/douyu/138959
❤️曾小贤❤️胡一菲❤️9686235,	http://124.223.212.38:83/douyu/9586235
【吐槽】吐槽一下，快乐一天,	http://124.223.212.38:83/douyu/9236042
【鉴证】刑侦破案，线索追凶,	http://124.223.212.38:83/douyu/8323493
懒猫美食家点播,	http://124.223.212.38:83/douyu/260322
贰哥带你看电影,	http://124.223.212.38:83/douyu/9338867
【看电影了没】深度讲解电影,	http://124.223.212.38:83/douyu/9562616
MV音乐欣赏,http://124.223.212.38:83/douyu/3186217
【悬疑】午夜惊悚乐园，点上关注带你探险,	http://124.223.212.38:83/douyu/9075333
❤️杭州❤楚楚动人小阿星❤,	http://124.223.212.38:83/douyu/4396972
国王新三国	,http://124.223.212.38:83/douyu/179062
唯有音乐知我心,	http://124.223.212.38:83/douyu/3870925
【邦德】再帮我一个忙，让我消失,	http://124.223.212.38:83/douyu/9292499
【大蓝雀】最新神剧爆笑解说,	http://124.223.212.38:83/douyu/8656759
【RM-轮播】轮播！模式-24H欢乐不断,	http://124.223.212.38:83/douyu/7298973
电影解说人,	http://124.223.212.38:83/douyu/9431125
【凌儿️】港剧️电影动作,	http://124.223.212.38:83/douyu/1377142
平凡的世界，平凡的人,	http://124.223.212.38:83/douyu/10240495
【笑场】喜剧电影专场,	http://124.223.212.38:83/douyu/9292492
【天子】愁在秋日里,落花逐水流	,http://124.223.212.38:83/douyu/7133423
❤️小饼❤️一个神秘的电影直播间,	http://124.223.212.38:83/douyu/1735337
【贝爷影厅】欧美日韩国产2号厅,	http://124.223.212.38:83/douyu/36337
【老白和小粉】化学攻击最为致命,	http://124.223.212.38:83/douyu/755832
元芳到底看不看,	http://124.223.212.38:83/douyu/6027991
俗哥看电影的直播间,	http://124.223.212.38:83/douyu/2161818
好像视说故事电影推荐,	http://124.223.212.38:83/douyu/8891883
开心情景剧-超清去片头片尾,	http://124.223.212.38:83/douyu/6648727
雍正四阿哥经典电视,	http://124.223.212.38:83/douyu/4944033
【香港赌片】喜剧、黑帮、动作、武侠、经典,	http://124.223.212.38:83/douyu/315457
贾队长~原版独播,	http://124.223.212.38:83/douyu/6778282
老铁你又来了啊,	http://124.223.212.38:83/douyu/691316
【粤语电影】吴孟达达叔周星驰经典,	http://124.223.212.38:83/douyu/1226741
♥️周杰伦♥️MV音乐演唱会高清电影视频,	http://124.223.212.38:83/douyu/7537296
海绵与大星直播间,	http://124.223.212.38:83/douyu/2250349
【4K高帧】极致画质，极致流畅,	http://124.223.212.38:83/douyu/10416271
鼎香楼的故事,	http://124.223.212.38:83/douyu/299854
【米娅陪看】60帧喜剧科幻电影真人互动,	http://124.223.212.38:83/douyu/6537888
【刘华强】你这呱保熟吗,	http://124.223.212.38:83/douyu/2726977
【超清2】热门港剧天地,	http://124.223.212.38:83/douyu/5522351
✨十三香✨经典科幻动作二战,	http://124.223.212.38:83/douyu/4870914
【纪晓岚】莫说百无一用是书生	,http://124.223.212.38:83/douyu/9071554
【恐怖电影】鬼片僵尸灾难丧尸片,	http://124.223.212.38:83/douyu/310926
漫威迷集合,	http://124.223.212.38:83/douyu/1713615
【神探】童年阴影包拯,	http://124.223.212.38:83/douyu/7784862
【恐怖电影】林正英僵尸鬼片经典,	http://124.223.212.38:83/douyu/9275635
【果条】偶尔陪看,	http://124.223.212.38:83/douyu/6785471
❤小饼❤蓝光胡八一经典电视剧,	http://124.223.212.38:83/douyu/7701735
金庸武侠、古装神剧,	http://124.223.212.38:83/douyu/338759
全程高能，爆笑如雷,	http://124.223.212.38:83/douyu/9638983
〖師落〗大秦男儿勿忘东出,	http://124.223.212.38:83/douyu/6582435
经典美剧解说，悬疑科幻惊悚,	http://124.223.212.38:83/douyu/9123570
【超清1】经典港剧天地,	http://124.223.212.38:83/douyu/4290711
【柯南】外表看似小孩，智慧却过于常人,	http://124.223.212.38:83/douyu/6484910
【悍匪】技术学院	,http://124.223.212.38:83/douyu/922564
正常开播，欢迎欢迎,	http://124.223.212.38:83/douyu/319576
爆笑解说各种动漫,	http://124.223.212.38:83/douyu/2365
金田一真人版持续放松,	http://124.223.212.38:83/douyu/1979257
【神剧】【燕双鹰】【狄仁杰】,	http://124.223.212.38:83/douyu/5875025
❤️奶瓶❤️金庸武侠剧,	http://124.223.212.38:83/douyu/7644931
【动漫】超燃怀旧经典,	http://124.223.212.38:83/douyu/1174353
【话事人】粤语【周星驰】【林正英】,	http://124.223.212.38:83/douyu/5033502
周末狂欢剧场,	http://124.223.212.38:83/douyu/7476264
范闲、王启年、陈萍萍~,	http://124.223.212.38:83/douyu/5908256
荒野求生纪录片小天地,	http://124.223.212.38:83/douyu/9661369
有温度的篮球厂牌	,http://124.223.212.38:83/douyu/9367541
带你体验宇宙时空之旅,	http://124.223.212.38:83/douyu/9439712
一个只讲恐怖电影的电影解说,	http://124.223.212.38:83/douyu/8415464
【经典武侠】时代的记忆！,	http://124.223.212.38:83/douyu/9649701
范闲4K超清、下饭神剧,	http://124.223.212.38:83/douyu/9633542
傲娇的超级赛亚人的直播间	,http://124.223.212.38:83/douyu/4373285
【奥雷】带你看遍奇葩老电影,	http://124.223.212.38:83/douyu/1224356
【胥渡吧】经典搞笑神配音~,	http://124.223.212.38:83/douyu/2040822
【松轩】速看大片，体味人生,	http://124.223.212.38:83/douyu/1524969
【综艺】搞笑影视综艺解说时间到了,	http://124.223.212.38:83/douyu/8657920
清汤寡水之情景喜剧,	http://124.223.212.38:83/douyu/3980787
【谁语Whospeak】精彩电影解说	,http://124.223.212.38:83/douyu/8705754
【史君观影】国产刑侦电视剧太精彩了,	http://124.223.212.38:83/douyu/9644669
老爹:还有一件事	,http://124.223.212.38:83/douyu/7134757
祝晓晗的直播间,	http://124.223.212.38:83/douyu/9575293
我只担心一件事，我怕我配不上所受的苦难,	http://124.223.212.38:83/douyu/8344251
【一目十影】温情解说经典电影,	http://124.223.212.38:83/douyu/3643605
【科幻】九叔带你看大片,	http://124.223.212.38:83/douyu/9348282
看遍世界各地的纪录片,	http://124.223.212.38:83/douyu/8834003
原创惊悚恐怖动画,	http://124.223.212.38:83/douyu/9312460
锦书致南辞,	http://124.223.212.38:83/douyu/2894528
小姐姐Bie跑哦的直播间,	http://124.223.212.38:83/douyu/8666258
新鲜影剧解说，好看的电影、电视剧都在我这,	http://124.223.212.38:83/douyu/421222
【经典悬疑烧脑剧解说】你值得拥有,	http://124.223.212.38:83/douyu/8790357
二次元fans鹿鹿~鹿鹿陪你看动漫,	http://124.223.212.38:83/douyu/8661526
电影冷知识的直播间,	http://124.223.212.38:83/douyu/9660835
【经典巨制】欧美大片	,http://124.223.212.38:83/douyu/2793084
【速看】超精彩的电影解说，等你来看,	http://124.223.212.38:83/douyu/8808506
指缝君看大片,	http://124.223.212.38:83/douyu/9647834
【六小龄童】你挑着担，我牵着马,	http://124.223.212.38:83/douyu/8953746
挖沟连彭沟长的直播间,	http://124.223.212.38:83/douyu/8413092
小姐姐小乔讲电影,	http://124.223.212.38:83/douyu/8413908
【恐怖电影】小岛理解下的恐怖电影,	http://124.223.212.38:83/douyu/9390955
芳芳说故事每日更新,	http://124.223.212.38:83/douyu/9401905
【超清3】人气港剧天地,	http://124.223.212.38:83/douyu/5261342
找不到暑假工，开播挣学费~,	http://124.223.212.38:83/douyu/7116591
【娜娜酱】带你一起看动漫,	http://124.223.212.38:83/douyu/9445557
带您进入搞笑院长的电影世界,	http://124.223.212.38:83/douyu/8829915
【崽崽】创意电影脑洞大开,	http://124.223.212.38:83/douyu/8325511
女汉子还是女神，看看她讲的电影就知道了,	http://124.223.212.38:83/douyu/9395966
小丽说电影每日更新,	http://124.223.212.38:83/douyu/9368016
菠萝说电影,	http://124.223.212.38:83/douyu/3714736
那些年一起追的宝可梦,	http://124.223.212.38:83/douyu/9050486
腰子and伦巴	,http://124.223.212.38:83/douyu/6899895
屁屁鸭和他的朋友们,	http://124.223.212.38:83/douyu/9461930
爆笑动画吐槽2333333,	http://124.223.212.38:83/douyu/9039217
小美丽带你5分钟看一部精彩电影,	http://124.223.212.38:83/douyu/6725858
江户川柯南，是一个蒸蛋,	http://124.223.212.38:83/douyu/5377297
罗休休的爆笑校园,	http://124.223.212.38:83/douyu/9403178
山下智博超精彩的日常分享,	http://124.223.212.38:83/douyu/9186596
【娱乐】歪果仁的奇葩生活,	http://124.223.212.38:83/douyu/8850453
动漫二次元#补番推荐#,	http://124.223.212.38:83/douyu/9429545
吐槽各种东西！都吐槽,	http://124.223.212.38:83/douyu/9540113
张开嘴吃我安利啦,	http://124.223.212.38:83/douyu/9184833
【经典搞笑电视剧】轮播♥高清,	http://124.223.212.38:83/douyu/5429211
【s1134】经典科幻动作灾难,	http://124.223.212.38:83/douyu/248753
【天使点播】动漫直播间,	http://124.223.212.38:83/douyu/1487654
【倍速播放】快乐会加倍,	http://124.223.212.38:83/douyu/4105989
【麓山迷踪】邪虐异染绝,	http://124.223.212.38:83/douyu/4505431
养老院☞总会有你可能喜欢的节目吧,	http://124.223.212.38:83/douyu/2073
【粤语频道】电影点播,	http://124.223.212.38:83/douyu/2466104
【闯关D】今日鲜儿要上山，敬请神灵多包涵,	http://124.223.212.38:83/douyu/8787737
【高帧】成龙/李连杰/动作/武侠…,	http://124.223.212.38:83/douyu/6763930
【超级赛亚人】悟吉塔,	http://124.223.212.38:83/douyu/7190773
【鬼兄奇谈】午夜故事，提神醒脑，清清凉凉,	http://124.223.212.38:83/douyu/8722254
【回首往事】仨房间画面同步显示,	http://124.223.212.38:83/douyu/1569773
♥卡面来打♥,	http://124.223.212.38:83/douyu/1218414
⭐修复版⭐国配经典⭐,	http://124.223.212.38:83/douyu/10084875
狄大人：元芳到底看不看,	http://124.223.212.38:83/douyu/9965018
迷茫看【许三多】励志⭐特种兵原版蓝光,	http://124.223.212.38:83/douyu/10348728
【经典】华堂留客看惊鸿,	http://124.223.212.38:83/douyu/7314294
宇宙的尽头是什么？,	http://124.223.212.38:83/douyu/9456028
粤语剧一起看,	http://124.223.212.38:83/douyu/10338873
漫威与DC，精彩有声漫画,	http://124.223.212.38:83/douyu/1952680
解说：各类精彩国产悬疑推理剧集,	http://124.223.212.38:83/douyu/8741860
带你看没时间看的经典电影,	http://124.223.212.38:83/douyu/9375743
邸生讲解的童年经典,	http://124.223.212.38:83/douyu/9665298
小小鹿的恐怖故事馆（故事内容仅为小说）,	http://124.223.212.38:83/douyu/9442889
【犯罪】【真实案例】【刑侦】,	http://124.223.212.38:83/douyu/10019937
没有比这更沙雕的直播间了,	http://124.223.212.38:83/douyu/9481300
【独立鱼】鱼叔荐好片爱看你就来,	http://124.223.212.38:83/douyu/2413555
鲨说电影的直播间	,http://124.223.212.38:83/douyu/9544628
草帽丶海贼团的直播间,	http://124.223.212.38:83/douyu/997925
郭云神奇的神奇解说，百万UP主的威力,	http://124.223.212.38:83/douyu/8694831
总有一部让你觉得很哇塞的电影,	http://124.223.212.38:83/douyu/9820039
二次元放映室，有呐味儿了,	http://124.223.212.38:83/douyu/8912038
恐怖悬疑小故事精彩解说,	http://124.223.212.38:83/douyu/6361974
【阿木】解读高分经典电影,	http://124.223.212.38:83/douyu/532050
【午夜消暑】伊藤润二恐怖漫画血亏解说专场,	http://124.223.212.38:83/douyu/8936207
【草泥泥影院】每日解说欧美高分动画,	http://124.223.212.38:83/douyu/9091049
猪弟侃电影,	http://124.223.212.38:83/douyu/8862501
每日深度解说经典电影。每天惊喜不断,	http://124.223.212.38:83/douyu/8758482
最会“夸人”的三代鹿人来斗鱼啦,	http://124.223.212.38:83/douyu/9629717
【Hunter】动漫热血老贼冒险,	http://124.223.212.38:83/douyu/6610883
【鸡哥】一部电影就是一个人生,	http://124.223.212.38:83/douyu/5067952
【快看张不止】带你看各国悬疑电影,	http://124.223.212.38:83/douyu/8413226
涛哥玩吃鸡,http://124.223.212.38:83/douyu/613850
小儛陪你聊电影,	http://124.223.212.38:83/douyu/8362978
❤️奶瓶❤️经典港剧,	http://124.223.212.38:83/douyu/6241733
